"","team","team_id"
"251","Saint Louis","139"
"252","Saint Mary's","2608"
"253","Saint Peter's","2612"
"254","Sam Houston","2534"
"255","Samford","2535"
"256","San Diego State","21"
"257","San Diego","301"
"258","San Francisco","2539"
"259","San José State","23"
"260","Santa Clara","2541"
"261","Seattle U","2547"
"262","Seton Hall","2550"
"263","Siena","2561"
"264","South Alabama","6"
"265","South Carolina","2579"
"266","South Carolina State","2569"
"267","South Carolina Upstate","2908"
"268","South Dakota","233"
"269","South Dakota State","2571"
"270","South Florida","58"
"271","Southeast Missouri State","2546"
"272","Southern Illinois","79"
"273","Southern","2582"
"274","Southern Miss","2572"
"275","Southern Utah","253"
"276","St. Bonaventure","179"
"277","St. Francis (BKN)","2597"
"278","St. Francis (PA)","2598"
"279","St. John's","2599"
"280","St. Thomas - Minnesota","2900"
"281","Stanford","24"
"282","Stephen F. Austin","2617"
"283","Stetson","56"
"284","Stony Brook","2619"
"285","Syracuse","183"
"286","TCU","2628"
"287","Tarleton","2627"
"288","Temple","218"
"289","Tennessee","2633"
"290","Tennessee State","2634"
"291","Tennessee Tech","2635"
"292","Texas A&M","245"
"293","Texas A&M-CC","357"
"294","Texas","251"
"295","Texas Southern","2640"
"296","Texas State","326"
"297","Texas Tech","2641"
"298","Toledo","2649"
"299","Towson","119"
"300","Troy","2653"
"301","Tulane","2655"
"302","Tulsa","202"
"303","UAB","5"
"304","UC Davis","302"
"305","UC Irvine","300"
"306","UC Riverside","27"
"307","UC San Diego","28"
"308","UC Santa Barbara","2540"
"309","UCF","2116"
"310","UCLA","26"
"311","UConn","41"
"312","UIC","82"
"313","UL Monroe","2433"
"314","UMBC","2378"
"315","UMass Lowell","2349"
"316","UMass","113"
"317","UNC Asheville","2427"
"318","UNC Greensboro","2430"
"319","UNC Wilmington","350"
"320","UNLV","2439"
"321","USC","30"
"322","UT Arlington","250"
"323","UT Martin","2630"
"324","UT Rio Grande Valley","292"
"325","UTEP","2638"
"326","UTSA","2636"
"327","Utah State","328"
"328","Utah","254"
"329","Utah Valley","3084"
"330","VCU","2670"
"331","Valparaiso","2674"
"332","Vanderbilt","238"
"333","Vermont","261"
"334","Villanova","222"
"335","Virginia","258"
"336","Virginia Tech","259"
"337","Wagner","2681"
"338","Wake Forest","154"
"339","Washington","264"
"340","Washington State","265"
"341","Weber State","2692"
"342","West Virginia","277"
"343","Western Carolina","2717"
"344","Western Illinois","2710"
"345","Western Kentucky","98"
"346","Western Michigan","2711"
"347","Wichita State","2724"
"348","William & Mary","2729"
"349","Winthrop","2737"
"350","Wisconsin","275"
"351","Wofford","2747"
"352","Wright State","2750"
"353","Wyoming","2751"
"354","Xavier","2752"
"355","Yale","43"
"356","Youngstown State","2754"
